Date:	7/23/2012								
measured by:	Omer	 System:	ambient probe station						
Remeasuring second rounbd of devices. Had been sitting under (mild) vacuum. Lamp at about 65 W									
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.4BG light	 	.3 Light	 	.2 Big Light	 	.4SG Light	 	.2Small Light
0.0500	-1.76E-3	0.0500	-1.26E-3	0.0500	-1.45E-3	0.0500	-2.75E-3	0.0500	-6.81E-4
0.0600	-1.62E-3	0.0600	-1.19E-3	0.0600	-1.34E-3	0.0600	-2.72E-3	0.0600	-6.43E-4
0.0700	-1.49E-3	0.0700	-1.11E-3	0.0700	-1.23E-3	0.0700	-2.68E-3	0.0700	-6.05E-4
0.0800	-1.36E-3	0.0800	-1.04E-3	0.0800	-1.13E-3	0.0800	-2.63E-3	0.0800	-5.67E-4
0.0900	-1.24E-3	0.0900	-9.64E-4	0.0900	-1.03E-3	0.0900	-2.58E-3	0.0900	-5.29E-4
0.1000	-1.12E-3	0.1000	-8.92E-4	0.1000	-9.28E-4	0.1000	-2.52E-3	0.1000	-4.91E-4
0.1100	-1.01E-3	0.1100	-8.23E-4	0.1100	-8.26E-4	0.1100	-2.46E-3	0.1100	-4.55E-4
0.1200	-9.03E-4	0.1200	-7.55E-4	0.1200	-7.24E-4	0.1200	-2.38E-3	0.1200	-4.19E-4
0.1300	-8.03E-4	0.1300	-6.91E-4	0.1300	-6.23E-4	0.1300	-2.31E-3	0.1300	-3.85E-4
0.1400	-7.10E-4	0.1400	-6.28E-4	0.1400	-5.23E-4	0.1400	-2.22E-3	0.1400	-3.51E-4
0.1500	-6.23E-4	0.1500	-5.66E-4	0.1500	-4.22E-4	0.1500	-2.13E-3	0.1500	-3.18E-4
0.1600	-5.42E-4	0.1600	-5.09E-4	0.1600	-3.19E-4	0.1600	-2.04E-3	0.1600	-2.87E-4
0.1700	-4.66E-4	0.1700	-4.54E-4	0.1700	-2.16E-4	0.1700	-1.94E-3	0.1700	-2.57E-4
0.1800	-3.97E-4	0.1800	-4.02E-4	0.1800	-1.11E-4	0.1800	-1.84E-3	0.1800	-2.29E-4
0.1900	-3.34E-4	0.1900	-3.54E-4	0.1900	-6.58E-6	0.1900	-1.74E-3	0.1900	-2.02E-4
0.2000	-2.77E-4	0.2000	-3.08E-4	0.2000	9.86E-5	0.2000	-1.64E-3	0.2000	-1.77E-4
0.2100	-2.25E-4	0.2100	-2.65E-4	0.2100	2.05E-4	0.2100	-1.54E-3	0.2100	-1.53E-4
